,network,station,longitude,latitude,start_date,end_date,sid,x,y,flag
454,NC,JMGB,-122.474823,37.637192,2001-06-08T22:30:00.000000Z,3000-01-01T00:00:00.000000Z,NC.JMGB,51243.860796658395,69306.3722201561,True
455,NC,JMP,-122.16642,37.455425,1989-01-03T00:00:00.000000Z,1999-03-16T23:59:00.000000Z,NC.JMP,83576.58367444985,59085.79756210459,True
456,NC,JPC,-122.212761,37.270802,2001-03-07T23:00:00.000000Z,2019-08-26T00:00:00.000000Z,NC.JPC,97776.18569769333,74419.73648929367,True
457,NC,JPE,-122.209292,37.284159,2019-08-26T00:00:00.000000Z,3000-01-01T00:00:00.000000Z,NC.JPE,96755.42031626633,73301.49752077427,True
458,NC,JPP,-122.214149,37.262585,1984-01-01T00:00:00.000000Z,2001-08-29T14:30:00.000000Z,NC.JPP,98442.90002689858,75054.07807345282,True
459,NC,JPR,-122.474953,37.795269,1984-01-01T00:00:00.000000Z,3000-01-01T00:00:00.000000Z,NC.JPR,37049.8291137677,58992.50700243516,True
460,NC,JQB,-122.111336,37.322334,1988-04-01T00:00:00.000000Z,1989-01-01T23:59:00.000000Z,NC.JQB,98408.17026515512,63780.3904790956,True
461,NC,JQE,-122.101997,37.323166,1988-04-01T00:00:00.000000Z,1989-01-01T23:59:00.000000Z,NC.JQE,98817.7722581495,63055.10827156338,True
462,NC,JQN,-122.109001,37.324833,1988-04-01T00:00:00.000000Z,1989-01-01T23:59:00.000000Z,NC.JQN,98304.40782469486,63450.23114871758,True
463,NC,JQO,-122.105003,37.319332,1988-04-01T00:00:00.000000Z,1989-01-01T23:59:00.000000Z,NC.JQO,99006.89653234738,63520.21095966758,True
464,NC,JQS,-122.110168,37.318668,1988-04-01T00:00:00.000000Z,1989-01-01T23:59:00.000000Z,NC.JQS,98798.69229721626,63934.59170342356,True
465,NC,JQW,-122.116333,37.323334,1988-04-01T00:00:00.000000Z,1989-01-01T23:59:00.000000Z,NC.JQW,98058.91990632101,64074.56259575097,True
466,NC,JSA,-122.420059,37.582249,1984-01-01T00:00:00.000000Z,2000-08-17T23:29:00.000000Z,NC.JSA,59019.8719391545,68982.12112947757,True
468,NC,JSB,-122.398552,37.674332,1991-10-31T23:30:00.000000Z,3000-01-01T00:00:00.000000Z,NC.JSB,51867.41907156315,61438.48598929808,True
469,NC,JSC,-122.124184,37.284286,1984-01-01T00:00:00.000000Z,2014-06-26T21:42:00.000000Z,NC.JSC,101165.31617079412,67175.91983399697,True
470,NC,JSCB,-122.123688,37.284153,2015-01-08T20:51:00.000000Z,3000-01-01T00:00:00.000000Z,NC.JSCB,101203.03522350779,67148.89848565866,True
471,NC,JSF,-122.174072,37.404587,1984-01-01T00:00:00.000000Z,2003-02-04T23:59:00.000000Z,NC.JSF,87753.05343427986,62940.078592914615,True
472,NC,JSFB,-122.175957,37.403721,2000-12-12T23:45:00.000000Z,3000-01-01T00:00:00.000000Z,NC.JSFB,87733.17552183803,63131.654278341055,True
473,NC,JSG,-122.050766,37.283165,1984-01-01T00:00:00.000000Z,1996-07-27T17:30:00.000000Z,NC.JSG,105075.90124997924,61968.34124101307,True
474,NC,JSGB,-122.050171,37.28397,1996-07-31T14:15:00.000000Z,3000-01-01T00:00:00.000000Z,NC.JSGB,105034.27959827457,61873.28612134186,True
475,NC,JSJ,-122.092316,37.333778,1984-01-01T00:00:00.000000Z,2014-06-26T21:42:00.000000Z,NC.JSJ,98364.74843113162,61670.050635503554,True
477,NC,JSP,-122.502167,37.586441,1995-04-27T18:10:00.000000Z,2000-08-07T23:59:00.000000Z,NC.JSP,54377.26509990351,74573.29751682618,True
479,NC,JTR,-122.197998,37.352165,1988-09-26T21:30:00.000000Z,1990-10-11T20:00:00.000000Z,NC.JTR,91226.4024403501,68066.56096592496,True
480,NC,N001,-122.494141,37.960415,2009-04-13T18:50:00.000000Z,3000-01-01T00:00:00.000000Z,NC.N001,21235.145556924865,49571.05392342199,True
481,NC,N002,-122.140739,38.182613,2010-11-04T17:49:00.000000Z,3000-01-01T00:00:00.000000Z,NC.N002,19468.494054739054,9986.714030743957,True
482,NC,N003,-122.553757,38.108955,2010-11-17T18:29:00.000000Z,3000-01-01T00:00:00.000000Z,NC.N003,4826.330023156945,44094.33741784549,True
484,NC,N022,-122.457253,37.878597,2018-04-20T21:21:00.000000Z,3000-01-01T00:00:00.000000Z,NC.N022,30486.99889394739,52291.46630559981,True
485,NC,NCC,-122.47467,38.001984,2006-05-09T00:00:00.000000Z,3000-01-01T00:00:00.000000Z,NC.NCC,18510.946352486786,45472.83716684426,True
486,NC,NCT,-122.61573,37.997211,2015-07-29T23:13:00.000000Z,3000-01-01T00:00:00.000000Z,NC.NCT,11642.132039163695,55798.15962497635,True
487,NC,NGI,-121.95544,38.11945,2022-01-25T00:00:00.000000Z,3000-01-01T00:00:00.000000Z,NC.NGI,34652.92432032156,907.0776447328317,True
488,NC,NHC,-122.357674,38.21748,2009-11-04T20:44:00.000000Z,3000-01-01T00:00:00.000000Z,NC.NHC,5190.803072770437,23111.00716503535,True
489,NC,NHF,-122.523315,38.049622,1991-08-21T23:40:00.000000Z,3000-01-01T00:00:00.000000Z,NC.NHF,11722.138807211304,45813.916759847285,True
491,NC,NLH,-122.149216,38.122814,1984-01-01T00:00:00.000000Z,3000-01-01T00:00:00.000000Z,NC.NLH,24415.10240101099,14475.31884286512,True
492,NC,NMI,-122.258499,38.076012,1991-09-05T21:45:00.000000Z,2001-04-25T13:44:00.000000Z,NC.NMI,23007.855164990317,25287.5887348187,True
494,NC,NRL,-122.537384,37.835102,1995-04-27T00:00:00.000000Z,2022-03-29T01:00:00.000000Z,NC.NRL,30239.766255366434,60834.108279892185,True
495,NC,NSP,-122.464401,38.200253,1984-01-01T00:00:00.000000Z,1996-10-01T19:40:00.000000Z,NC.NSP,1243.7010897719174,31797.642220396312,True
498,NC,NTA,-122.598305,37.923054,1984-01-01T00:00:00.000000Z,2001-03-24T20:15:00.000000Z,NC.NTA,19193.87329191713,59413.36900191854,True
499,NC,NTAB,-122.598289,37.923069,2000-07-28T00:00:00.000000Z,2005-06-21T16:38:00.000000Z,NC.NTAB,19193.35747117253,59411.251185656794,True
500,NC,NTAC,-122.596481,37.923717,2005-08-11T00:00:00.000000Z,3000-01-01T00:00:00.000000Z,NC.NTAC,19228.949147749503,59240.43601541294,True
501,NC,NTO,-122.449692,38.143608,2004-03-10T22:40:00.000000Z,3000-01-01T00:00:00.000000Z,NC.NTO,7087.005574618604,34453.41096727264,True
502,NC,RWSVT,-122.263023,37.94408,2010-10-14T16:00:00.000000Z,3000-01-01T00:00:00.000000Z,NC.RWSVT,34636.69158253917,34198.11064375337,True
503,NP,1002,-122.25522,37.52886,2000-04-13T18:00:00.000000Z,3000-01-01T00:00:00.000000Z,NP.1002,72369.55197104526,60671.56497792729,True
504,NP,1003,-122.2977,37.49403,2005-04-14T18:00:00.000000Z,3000-01-01T00:00:00.000000Z,NP.1003,73296.68313375529,65981.20935181396,True
505,NP,1005,-122.2356,37.8762,1996-02-07T18:00:00.000000Z,1999-10-06T18:00:00.000000Z,NP.1005,42154.250489267215,36662.81234895855,True
506,NP,1103,-122.26878,37.87004,1985-02-12T18:00:00.000000Z,3000-01-01T00:00:00.000000Z,NP.1103,40996.09337886071,39428.56636380358,True
507,NP,1121,-122.0836,37.6565,1981-09-16T18:00:00.000000Z,1994-04-21T18:00:00.000000Z,NP.1121,69765.26328803305,40087.704082989105,True
508,NP,1129,-122.08236,37.67941,1984-03-30T18:00:00.000000Z,1999-11-22T18:00:00.000000Z,NP.1129,67766.77784463327,38511.36153461632,True
509,NP,1160,-122.31418,37.48413,1982-04-08T18:00:00.000000Z,1994-08-29T18:00:00.000000Z,NP.1160,73330.83554735554,67806.21004550591,True
510,NP,1180,-122.13022,37.62332,1981-12-01T18:00:00.000000Z,1990-01-01T18:00:00.000000Z,NP.1180,70343.65765853687,45579.75173668243,True
511,NP,1225,-122.50482,37.78268,2004-07-15T18:00:00.000000Z,3000-01-01T00:00:00.000000Z,NP.1225,36631.3636743282,61941.89233229468,True
512,NP,1226,-121.76303,37.62553,2004-03-24T18:00:00.000000Z,3000-01-01T00:00:00.000000Z,NP.1226,89070.76548831095,19116.32396963759,True
513,NP,1239,-122.40282,37.7952,1984-09-12T18:00:00.000000Z,3000-01-01T00:00:00.000000Z,NP.1239,40792.07444814474,53858.180100339916,True
514,NP,1439,-122.322,37.9,1975-12-08T18:00:00.000000Z,1983-11-30T18:00:00.000000Z,NP.1439,35555.948836791256,41268.34456747539,True
515,NP,1446,-122.40036,37.78956,1981-07-20T18:00:00.000000Z,1992-04-20T18:00:00.000000Z,NP.1446,41425.91400380744,54050.795238332066,True
517,NP,1447,-122.14159,37.40568,1991-11-22T18:00:00.000000Z,3000-01-01T00:00:00.000000Z,NP.1447,89339.15384261757,60537.85023794037,True
518,NP,1448,-122.11658,37.99345,1991-06-04T18:00:00.000000Z,1994-03-25T18:00:00.000000Z,NP.1448,37734.71895290217,20558.541383841446,True
519,NP,1515,-122.2495,37.5553,1996-02-01T18:00:00.000000Z,1999-12-13T18:00:00.000000Z,NP.1515,70289.00997517767,58541.00920864349,True
520,NP,1571,-121.85201,37.33927,1977-06-05T18:00:00.000000Z,2014-08-29T18:00:00.000000Z,NP.1571,110309.66945910105,44026.97251223489,True
522,NP,1590,-122.5099,37.9445,1999-11-17T18:00:00.000000Z,2001-11-08T18:00:00.000000Z,NP.1590,21848.076474671572,51730.56042263131,True
523,NP,1662,-122.2961,37.8398,1984-12-18T18:00:00.000000Z,3000-01-01T00:00:00.000000Z,NP.1662,42303.720832517916,43344.97834803512,True
524,NP,1675,-122.38515,37.7276,1996-02-01T18:00:00.000000Z,3000-01-01T00:00:00.000000Z,NP.1675,47778.106794569445,57007.73087102952,True
525,NP,1676,-122.41636,37.7934,2001-05-08T18:00:00.000000Z,3000-01-01T00:00:00.000000Z,NP.1676,40252.711889232254,54940.45586440805,True
526,NP,1678,-122.47576,37.80678,1996-02-01T18:00:00.000000Z,3000-01-01T00:00:00.000000Z,NP.1678,35974.883318673004,58298.24421754121,True
527,NP,1684,-121.83119,37.51485,1999-04-21T18:00:00.000000Z,3000-01-01T00:00:00.000000Z,NP.1684,95548.72125518371,31168.182121701026,True
528,NP,1687,-121.8003,37.45039,1994-04-12T18:00:00.000000Z,2001-01-01T18:00:00.000000Z,NP.1687,102955.82847397366,33116.95975316847,True
529,NP,1688,-121.88094,37.59669,1994-03-08T18:00:00.000000Z,3000-01-01T00:00:00.000000Z,NP.1688,85604.83066148445,29443.448398461373,True
530,NP,1689,-121.93329,37.70895,1994-03-07T18:00:00.000000Z,3000-01-01T00:00:00.000000Z,NP.1689,72788.91507986122,25925.032538404786,True
531,NP,1690,-121.99289,37.80945,1992-12-10T18:00:00.000000Z,3000-01-01T00:00:00.000000Z,NP.1690,60665.496086061336,23674.809182266516,True
532,NP,1691,-122.07853,37.92657,1996-02-09T18:00:00.000000Z,3000-01-01T00:00:00.000000Z,NP.1691,45711.984194352066,22189.950023618927,True
